description,iban,balance,client_id
compte commun,SI03 7775 0389 7569 811,254.95,1045
compte commun,FR13 2428 9331 10GE NWBQ KKYZ H57,990.53,1031
livret A,TR72 6931 6WCY OLIQ BFMI PBXW EK,971.12,1025
livret jeune,SE32 7495 4724 5081 9714 7937,1142.05,1042
compte epargne,AT36 4536 8448 3773 0769,651.65,1044
livret jeune,FR48 0543 5176 51OV EZDT F4IV X26,434.6,1016
compte vie,CH32 5738 6YW7 DO1S IMLN 3,260.49,1050
compte epargne,PS47 LCMQ WOFD 02HT FO3R CZJF KH9X 5,210.81,1029
livret A,FR05 2280 0965 51O7 MASG VFDW 741,-470.42,1057
compte epargne,LI77 8993 2O9L PEYD B9OQ Z,1595.13,1045
compte epargne,NL34 YHBV 8196 3855 81,5.6,1014
compte commun,MC07 9531 5565 47EX WFHE SQC3 V72,863.95,1056
compte epargne,FR75 4592 6556 95IK GNSJ 62PJ 305,141.14,1042
livret jeune,FR47 2121 5734 58BD N3GA YIOD K86,380.73,1027
compte epargne,CR68 3965 5618 1573 9667 7,614.47,1054
compte vie,FR31 6657 0012 25QT U3SC 7O4K P35,285.06,1008
compte courant,LV97 IOAW 3CCQ 4WJA J0XW C,-5.79,1009
livret jeune,PK11 PQCO 4AUU 1IIC 5JYT IBDN,1732.87,1022
livret A,LB46 4413 SLOM URDV T1NP 5JYL Y37N,436.72,1050
compte epargne,FR17 1790 4195 99PE 0IMD NP2N 357,508.67,1011
compte epargne,GR28 7637 507Y EBRK GG8A N2OL LBX,664.12,1017
compte courant,MK56 963Q A99K BLHB Q86,819.68,1010
compte commun,PS07 KLRN B2KO 55EB VING BCXD O9TH D,205.23,1054
livret A,MK08 077A Q1PO AUKA K50,1427.21,1056
compte commun,GE08 RL85 8563 2426 0373 09,-1182.96,1020
compte epargne,MC33 9844 8054 34AN 6EJX MYXR X82,77.34,1057
livret A,BG41 AQCO 8167 30KH JGOV PY,223.01,1020
compte commun,CR93 2874 2469 9490 0250 7,2194.12,1034
compte commun,SA90 05BT VE0L JI2T PSQQ X5EI,891.77,1031
